t,omega_obs,omega_fit,residual
11.0333,1.42837,1.38097,0.0474068
11.05,1.37374,1.39605,-0.022308
11.0667,1.40738,1.4111,-0.00372426
11.0833,1.38806,1.42611,-0.0380411
11.1,1.41735,1.44105,-0.0237053
11.1167,1.48134,1.45593,0.025406
11.1333,1.46343,1.47073,-0.00730103
11.15,1.47188,1.48543,-0.0135539
11.1667,1.54902,1.50004,0.0489833
11.1833,1.51471,1.51453,0.000185173
11.2,1.45726,1.5289,-0.0716333
11.2167,1.54256,1.54313,-0.000565737
11.2333,1.55072,1.55721,-0.0064873
11.25,1.53439,1.57114,-0.0367528
11.2667,1.61248,1.5849,0.0275829
11.2833,1.65432,1.59848,0.0558336
11.3,1.5702,1.61188,-0.0416778
11.3167,1.56631,1.62508,-0.0587649
11.3333,1.63255,1.63807,-0.00551952
11.35,1.63165,1.65084,-0.0191927
11.3667,1.70614,1.66338,0.0427585
11.3833,1.71032,1.67569,0.034633
11.4,1.63759,1.68775,-0.0501644
11.4167,1.70923,1.69956,0.00967149
11.4333,1.69468,1.7111,-0.0164203
11.45,1.72306,1.72237,0.000687376
11.4667,1.79543,1.73336,0.0620784
11.4833,1.70354,1.74405,-0.0405128
11.5,1.74753,1.75445,-0.00692365
11.5167,1.76627,1.76455,0.00172453
11.5333,1.73063,1.77433,-0.0436993
11.55,1.75049,1.78378,-0.0332947
11.5667,1.80768,1.79292,0.0147665
11.5833,1.83701,1.80171,0.0353016
11.6,1.81691,1.81017,0.00674702
11.6167,1.81625,1.81827,-0.002024
11.6333,1.80875,1.82603,-0.0172728
11.65,1.87805,1.83342,0.0446262
11.6667,1.86104,1.84045,0.0205959
11.6833,1.79551,1.8471,-0.0515923
11.7,1.84141,1.85338,-0.0119733
11.7167,1.8564,1.85928,-0.00288635
11.7333,1.84274,1.8648,-0.0220625
11.75,1.89316,1.86992,0.023236
11.7667,1.86527,1.87466,-0.00938593
11.7833,1.91173,1.87899,0.0327411
11.8,1.89242,1.88293,0.0094951
11.8167,1.79663,1.88646,-0.0898259
11.8333,1.88089,1.88959,-0.00869448
11.85,1.94661,1.89231,0.054306
11.8667,1.93199,1.89462,0.0373753
11.8833,1.89791,1.89651,0.00139649
11.9,1.87384,1.898,-0.0241544
11.9167,1.90862,1.89907,0.00955564
11.9333,1.88032,1.89972,-0.0193957
11.95,1.84144,1.89996,-0.058519
11.9667,1.95543,1.89978,0.0556431
11.9833,1.92389,1.89919,0.0246982
12,1.87398,1.89818,-0.0242065
12.0167,1.92311,1.89676,0.0263504
12.0333,1.92557,1.89492,0.030649
12.05,1.90728,1.89268,0.0146061
12.0667,1.86363,1.89002,-0.0263908
12.0833,1.84746,1.88695,-0.0394883
12.1,1.91245,1.88348,0.0289719
12.1167,1.89972,1.8796,0.0201136
12.1333,1.90297,1.87533,0.0276416
12.15,1.8745,1.87065,0.00384426
12.1667,1.83057,1.86558,-0.0350094
12.1833,1.85592,1.86013,-0.00420289
12.2,1.84542,1.85428,-0.00886183
12.2167,1.83213,1.84806,-0.0159318
12.2333,1.85475,1.84146,0.0132942
12.25,1.84557,1.83449,0.0110857
12.2667,1.85707,1.82715,0.0299265
12.2833,1.85077,1.81945,0.0313268
12.3,1.78919,1.81139,-0.0222062
12.3167,1.79772,1.80299,-0.00526741
12.3333,1.80804,1.79424,0.0137995
12.35,1.81804,1.78516,0.0328768
12.3667,1.75119,1.77575,-0.0245651
12.3833,1.77921,1.76602,0.0131862
12.4,1.78829,1.75597,0.032314
12.4167,1.72841,1.74562,-0.0172038
12.4333,1.76013,1.73496,0.0251639
12.45,1.68705,1.72402,-0.0369734
12.4667,1.67673,1.71279,-0.0360578
12.4833,1.75185,1.70129,0.0505606
12.5,1.70624,1.68952,0.0167193
12.5167,1.66736,1.6775,-0.0101439
12.5333,1.66226,1.66523,-0.00296889
12.55,1.68253,1.65272,0.0298153
12.5667,1.64393,1.63998,0.0039489
12.5833,1.63136,1.62702,0.00433698
12.6,1.66503,1.61385,0.0511748
12.6167,1.61029,1.60049,0.00980163
12.6333,1.55364,1.58693,-0.0332874
12.65,1.54514,1.5732,-0.0280581
12.6667,1.58402,1.55929,0.0247258
12.6833,1.58181,1.54523,0.03658
12.7,1.55179,1.53102,0.0207678
12.7167,1.51997,1.51667,0.00329568
12.7333,1.46965,1.5022,-0.0325511
12.75,1.46119,1.48761,-0.0264161
12.7667,1.49776,1.47292,0.0248369
12.7833,1.46533,1.45813,0.00719326
12.8,1.46799,1.44327,0.024722
12.8167,1.39901,1.42833,-0.0293238
12.8333,1.3954,1.41333,-0.0179303
12.85,1.45886,1.39829,0.0605666
12.8667,1.37039,1.38321,-0.0128233
12.8833,1.35241,1.3681,-0.0156956
12.9,1.36084,1.35298,0.00785262
12.9167,1.30319,1.33786,-0.034671
12.9333,1.31589,1.32275,-0.00686416
12.95,1.34875,1.30766,0.0410961
12.9667,1.3348,1.2926,0.0421976
12.9833,1.27747,1.27758,-0.000112054
13,1.25639,1.26262,-0.00622986
13.0167,1.23328,1.24773,-0.0144453
13.0333,1.22141,1.23291,-0.011496
13.05,1.29139,1.21818,0.0732072
13.0667,1.20138,1.20355,-0.00217106
13.0833,1.13944,1.18903,-0.0495871
13.1,1.20587,1.17463,0.031238
13.1167,1.18236,1.16037,0.0219903
13.1333,1.118,1.14625,-0.028248
13.15,1.1111,1.13228,-0.0211852
13.1667,1.11369,1.11848,-0.00478908
13.1833,1.12586,1.10485,0.0210069
13.2,1.10288,1.09141,0.0114753
13.2167,1.09271,1.07816,0.0145435
13.2333,1.09394,1.06512,0.0288209
13.25,1.01748,1.0523,-0.0348176
13.2667,1.02042,1.0397,-0.0192734
13.2833,1.03725,1.02733,0.00992108
13.3,1.03677,1.01521,0.0215551
13.3167,1.01115,1.00334,0.00780283
13.3333,0.958577,0.991738,-0.0331602
13.35,1.04272,0.980403,0.062321
13.3667,1.01075,0.969348,0.0414067
13.3833,0.965743,0.95858,0.00716284
13.4,0.96,0.948109,0.0118917
13.4167,0.879793,0.937941,-0.0581479
13.4333,0.916346,0.928086,-0.0117397
13.45,0.956012,0.918549,0.0374632
13.4667,0.872721,0.909338,-0.0366177
13.4833,0.906191,0.900461,0.00573013
13.5,0.921805,0.891924,0.0298807
13.5167,0.899612,0.883733,0.0158789
13.5333,0.877048,0.875895,0.00115229
13.55,0.81637,0.868416,-0.0520459
13.5667,0.858761,0.8613,-0.00253919
13.5833,0.853854,0.854555,-0.000700633
13.6,0.830539,0.848184,-0.0176445
13.6167,0.862612,0.842192,0.0204204
13.6333,0.846601,0.836585,0.0100165
13.65,0.846221,0.831365,0.0148558
13.6667,0.867283,0.826538,0.0407446
13.6833,0.811551,0.822107,-0.0105562
13.7,0.806584,0.818075,-0.0114913
13.7167,0.783226,0.814446,-0.0312193
13.7333,0.802358,0.811221,-0.00886358
13.75,0.821123,0.808404,0.0127188
13.7667,0.822938,0.805997,0.0169416
13.7833,0.802894,0.804,-0.00110665
13.8,0.777022,0.802417,-0.0253954
13.8167,0.839658,0.801248,0.0384102
13.8333,0.781457,0.800494,-0.019037
13.85,0.812224,0.800156,0.0120686
13.8667,0.861817,0.800233,0.0615842
13.8833,0.801533,0.800726,0.000806961
13.9,0.743362,0.801635,-0.0582727
13.9167,0.749258,0.802958,-0.0536997
13.9333,0.806001,0.804695,0.00130638
13.95,0.8025,0.806844,-0.00434388
13.9667,0.794954,0.809404,-0.0144498
13.9833,0.816334,0.812373,0.00396049
14,0.840505,0.815749,0.0247565
14.0167,0.814083,0.819528,-0.00544552
14.0333,0.828205,0.823709,0.00449604
14.05,0.827842,0.828288,-0.000446199
14.0667,0.847897,0.833261,0.0146362
14.0833,0.87809,0.838625,0.0394643
14.1,0.871271,0.844376,0.0268948
14.1167,0.87197,0.850509,0.0214603
14.1333,0.868638,0.85702,0.0116173
14.15,0.882968,0.863904,0.019064
14.1667,0.818044,0.871156,-0.0531114
14.1833,0.832798,0.878769,-0.0459712
14.2,0.904602,0.886739,0.0178626
14.2167,0.906985,0.89506,0.011925
14.2333,0.890152,0.903724,-0.0135719
14.25,0.882348,0.912726,-0.0303782
14.2667,0.962632,0.922058,0.0405732
14.2833,0.947933,0.931715,0.0162184
14.3,0.897841,0.941687,-0.0438463
14.3167,0.951156,0.951969,-0.000812833
14.3333,0.974454,0.962551,0.0119026
14.35,1.00099,0.973427,0.0275655
14.3667,0.962506,0.984587,-0.0220813
14.3833,0.952996,0.996023,-0.0430274
14.4,1.03737,1.00773,0.0296378
14.4167,1.0165,1.01969,-0.00319159
14.4333,1.02772,1.0319,-0.00417961
14.45,1.07481,1.04436,0.0304559
14.4667,1.0716,1.05704,0.0145612
14.4833,1.04355,1.06995,-0.0263956
14.5,1.03916,1.08307,-0.0439047
14.5167,1.09676,1.09639,0.000371972
14.5333,1.12584,1.1099,0.0159445
14.55,1.12775,1.12359,0.00415914
14.5667,1.16531,1.13746,0.0278499
14.5833,1.13276,1.15148,-0.0187254
14.6,1.12823,1.16566,-0.0374264
14.6167,1.19502,1.17997,0.0150455
14.6333,1.16487,1.19442,-0.0295419
14.65,1.21301,1.20898,0.00403459
14.6667,1.22184,1.22365,-0.00180411
14.6833,1.2272,1.23841,-0.0112092
14.7,1.28235,1.25326,0.0290893
14.7167,1.28069,1.26818,0.0125141
14.7333,1.25577,1.28316,-0.0273938
14.75,1.25956,1.2982,-0.0386407
14.7667,1.35482,1.31327,0.0415544
14.7833,1.38374,1.32837,0.0553694
14.8,1.28902,1.34349,-0.0544714
14.8167,1.3139,1.35861,-0.0447125
14.8333,1.36272,1.37372,-0.0110047
14.85,1.41448,1.38882,0.0256608
14.8667,1.4606,1.40389,0.0567092
14.8833,1.38102,1.41892,-0.0378958
14.9,1.40886,1.43389,-0.0250354
14.9167,1.50506,1.44881,0.056251
14.9333,1.4256,1.46364,-0.0380431
14.95,1.41608,1.4784,-0.0623111
14.9667,1.51845,1.49305,0.0253978
14.9833,1.50247,1.5076,-0.0051234
15,1.48939,1.52202,-0.0326333
15.0167,1.57139,1.53632,0.035069
15.0333,1.59886,1.55048,0.0483791
15.05,1.54877,1.56448,-0.0157164
15.0667,1.52712,1.57832,-0.0512085
15.0833,1.5932,1.59199,0.0012052
15.1,1.62269,1.60548,0.0172116
15.1167,1.56751,1.61878,-0.0512641
15.1333,1.6518,1.63187,0.0199382
15.15,1.66393,1.64474,0.0191843
15.1667,1.61493,1.6574,-0.0424648
15.1833,1.64062,1.66982,-0.0291976
15.2,1.72444,1.682,0.0424378
15.2167,1.73255,1.69393,0.0386197
15.2333,1.70167,1.7056,-0.00392634
15.25,1.6761,1.717,-0.040905
15.2667,1.69228,1.72812,-0.0358468
15.2833,1.77427,1.73896,0.0353062
15.3,1.72437,1.7495,-0.0251298
15.3167,1.71795,1.75975,-0.0417992
15.3333,1.77622,1.76968,0.00654223
15.35,1.7652,1.77929,-0.0140925
15.3667,1.79659,1.78858,0.00801551
15.3833,1.77205,1.79754,-0.0254883
15.4,1.80635,1.80616,0.000193422
15.4167,1.88498,1.81443,0.0705526
15.4333,1.78523,1.82235,-0.0371242
15.45,1.77822,1.82992,-0.0517027
15.4667,1.84773,1.83712,0.0106094
15.4833,1.83753,1.84396,-0.00642647
15.5,1.81548,1.85042,-0.0349432
15.5167,1.85058,1.8565,-0.00592704
15.5333,1.8942,1.8622,0.0319966
15.55,1.88207,1.86751,0.0145574
15.5667,1.85025,1.87244,-0.0221886
15.5833,1.84633,1.87696,-0.0306324
15.6,1.92153,1.88109,0.0404416
15.6167,1.93406,1.88482,0.0492423
15.6333,1.86396,1.88814,-0.0241752
15.65,1.8418,1.89105,-0.0492519
15.6667,1.85948,1.89356,-0.034076
15.6833,1.93025,1.89565,0.0345909
15.7,1.85758,1.89734,-0.0397612
15.7167,1.85795,1.89861,-0.0406527
15.7333,1.94498,1.89946,0.0455226
15.75,1.92103,1.8999,0.0211367
15.7667,1.906,1.89992,0.00608375
15.7833,1.89686,1.89953,-0.00266809
15.8,1.8571,1.89872,-0.041619
15.8167,1.85606,1.89749,-0.0414348
15.8333,1.90446,1.89586,0.00860033
15.85,1.90905,1.8938,0.0152421
15.8667,1.9155,1.89134,0.0241577
15.8833,1.92217,1.88847,0.0336967
15.9,1.83981,1.88519,-0.045384
15.9167,1.84833,1.88151,-0.0331797
15.9333,1.89886,1.87743,0.021439
15.95,1.83778,1.87294,-0.0351605
15.9667,1.84711,1.86806,-0.0209509
15.9833,1.84358,1.86279,-0.0192084
16,1.88146,1.85713,0.0243217
16.0167,1.89998,1.85109,0.0488896
16.0333,1.81915,1.84467,-0.0255214
16.05,1.80408,1.83788,-0.0338004
16.0667,1.86231,1.83071,0.0315989
16.0833,1.84882,1.82318,0.0256404
16.1,1.81683,1.8153,0.00153431
16.1167,1.78299,1.80706,-0.0240772
16.1333,1.7729,1.79848,-0.0255792
16.15,1.77908,1.78956,-0.0104741
16.1667,1.7822,1.7803,0.00189674
16.1833,1.77968,1.77073,0.00895098
16.2,1.73509,1.76083,-0.0257338
16.2167,1.79881,1.75062,0.0481859
16.2333,1.77803,1.74011,0.0379199
16.25,1.74086,1.7293,0.0115623
16.2667,1.69417,1.71821,-0.0240393
16.2833,1.67414,1.70684,-0.0327028
16.3,1.71984,1.6952,0.0246427
16.3167,1.66362,1.6833,-0.0196731
16.3333,1.6464,1.67114,-0.0247371
16.35,1.66402,1.65875,0.00527791
16.3667,1.68154,1.64611,0.035422
16.3833,1.63696,1.63326,0.00369767
16.4,1.63425,1.62019,0.0140529
16.4167,1.60576,1.60692,-0.00115553
16.4333,1.53654,1.59345,-0.0569104
16.45,1.59642,1.5798,0.0166197
16.4667,1.58048,1.56598,0.0145011
16.4833,1.54847,1.55199,-0.00351732
16.5,1.52584,1.53785,-0.0120077
16.5167,1.51753,1.52357,-0.00603965
16.5333,1.52129,1.50915,0.012136
16.55,1.50979,1.49462,0.0151728
16.5667,1.4723,1.47998,-0.00767243
16.5833,1.4812,1.46523,0.0159714
16.6,1.47761,1.4504,0.0272013
16.6167,1.3936,1.4355,-0.0418975
16.6333,1.43733,1.42053,0.0168004
16.65,1.43783,1.40551,0.0323212
16.6667,1.37799,1.39044,-0.0124556
16.6833,1.37999,1.37535,0.00464044
16.7,1.37742,1.36023,0.017182
16.7167,1.35803,1.34511,0.0129159
16.7333,1.31321,1.32999,-0.0167887
16.75,1.30224,1.31489,-0.012651
16.7667,1.28389,1.29981,-0.0159213
16.7833,1.29139,1.28478,0.00661781
16.8,1.32775,1.26979,0.0579658
16.8167,1.23564,1.25486,-0.0192137
16.8333,1.19944,1.24,-0.0405634
16.85,1.2401,1.22523,0.0148749
16.8667,1.27763,1.21055,0.0670849
16.8833,1.19786,1.19598,0.00188701
16.9,1.16592,1.18152,-0.0155954
16.9167,1.19588,1.16719,0.0286905
16.9333,1.09685,1.153,-0.0561503
16.95,1.09924,1.13896,-0.039722
16.9667,1.15566,1.12507,0.0305852
16.9833,1.14566,1.11136,0.0342973
17,1.12719,1.09783,0.0293548
17.0167,1.08528,1.08449,0.000793187
17.0333,1.09554,1.07135,0.0241937
17.05,1.07065,1.05842,0.0122294
17.0667,1.02126,1.04571,-0.0244464
17.0833,1.01299,1.03323,-0.0202391
17.1,1.03721,1.02099,0.0162147
17.1167,0.986519,1.009,-0.022483
17.1333,0.966235,0.997269,-0.0310344
17.15,1.07308,0.985803,0.0872765
17.1667,1.00493,0.974613,0.0303142
17.1833,0.926593,0.963706,-0.0371133
17.2,0.925693,0.953092,-0.0273989
17.2167,0.939514,0.942778,-0.00326416
17.2333,0.94245,0.932772,0.00967863
17.25,0.954827,0.923081,0.0317461
17.2667,0.889455,0.913713,-0.0242588
17.2833,0.872747,0.904676,-0.0319283
17.3,0.937331,0.895975,0.0413567
17.3167,0.908745,0.887617,0.0211283
17.3333,0.883483,0.879609,0.00387391
17.35,0.88419,0.871957,0.0122331
17.3667,0.880065,0.864666,0.0153984
17.3833,0.876409,0.857743,0.0186663
17.4,0.819057,0.851191,-0.0321338
17.4167,0.819898,0.845017,-0.0251187
17.4333,0.835352,0.839225,-0.00387328
17.45,0.813882,0.833819,-0.0199367
17.4667,0.871453,0.828804,0.042649
17.4833,0.878531,0.824182,0.0543486
17.5,0.82459,0.819959,0.00463168
17.5167,0.776619,0.816136,-0.0395169
17.5333,0.775138,0.812717,-0.0375788
17.55,0.81462,0.809704,0.00491636
17.5667,0.857816,0.8071,0.0507161
17.5833,0.81694,0.804906,0.0120336
17.6,0.78394,0.803125,-0.0191846
17.6167,0.783741,0.801757,-0.0180161
17.6333,0.76616,0.800804,-0.0346435
17.65,0.806306,0.800266,0.00604035
17.6667,0.854141,0.800144,0.0539972
17.6833,0.811861,0.800438,0.0114229
17.7,0.808609,0.801147,0.00746135
17.7167,0.83644,0.802272,0.034168
17.7333,0.776028,0.80381,-0.0277829
17.75,0.745071,0.805762,-0.0606914
17.7667,0.808167,0.808126,4.18573e-05
17.7833,0.81281,0.810899,0.0019112
17.8,0.828026,0.81408,0.0139466
17.8167,0.828517,0.817666,0.0108515
17.8333,0.834452,0.821655,0.012797
17.85,0.852537,0.826043,0.0264939
17.8667,0.80108,0.830828,-0.0297481
17.8833,0.864152,0.836005,0.0281471
17.9,0.862963,0.841571,0.0213925
17.9167,0.861095,0.847521,0.0135735
17.9333,0.821865,0.853852,-0.0319869
17.95,0.807563,0.860557,-0.0529948
17.9667,0.919579,0.867633,0.0519452
17.9833,0.900705,0.875074,0.0256315
18,0.888903,0.882874,0.0060288
18.0167,0.87872,0.891027,-0.0123073
18.0333,0.888437,0.899527,-0.0110897
18.05,0.889323,0.908368,-0.019045
18.0667,0.946758,0.917543,0.0292146
18.0833,0.952509,0.927045,0.0254639
18.1,0.910461,0.936867,-0.0264059
18.1167,0.916751,0.947001,-0.0302502
18.1333,0.953588,0.95744,-0.00385252
18.15,0.991434,0.968176,0.0232575
18.1667,0.984673,0.979201,0.00547201
18.1833,0.985914,0.990506,-0.00459249
18.2,1.02712,1.00208,0.0250384
18.2167,1.0632,1.01392,0.0492748
18.2333,0.97656,1.02602,-0.0494582
18.25,1.02049,1.03836,-0.0178691
18.2667,1.11248,1.05093,0.0615446
18.2833,1.04513,1.06373,-0.0186022
18.3,1.03268,1.07675,-0.0440664
18.3167,1.09069,1.08998,0.000716913
18.3333,1.10628,1.1034,0.00288701
18.35,1.15563,1.117,0.0386211
18.3667,1.14424,1.13079,0.0134475
18.3833,1.09757,1.14474,-0.0471712
18.4,1.18091,1.15884,0.0220697
18.4167,1.22773,1.17309,0.0546366
18.4333,1.14025,1.18748,-0.0472238
18.45,1.16421,1.20198,-0.0377719
18.4667,1.23341,1.2166,0.0168052
18.4833,1.25841,1.23132,0.0270891
18.5,1.24417,1.24613,-0.00196235
18.5167,1.2327,1.26102,-0.0283142
18.5333,1.33141,1.27597,0.0554349
18.55,1.31677,1.29098,0.0257849
18.5667,1.25053,1.30604,-0.0555096
18.5833,1.33955,1.32113,0.0184188
18.6,1.3401,1.33624,0.0038585
18.6167,1.33056,1.35136,-0.0208007
18.6333,1.40675,1.36648,0.0402726
18.65,1.38796,1.38159,0.00636967
18.6667,1.40103,1.39667,0.00436119
18.6833,1.44505,1.41172,0.0333301
18.7,1.38772,1.42672,-0.0389985
18.7167,1.44136,1.44166,-0.000300024
18.7333,1.49074,1.45654,0.0342032
18.75,1.42799,1.47133,-0.0433462
18.7667,1.4746,1.48604,-0.0114345
18.7833,1.56272,1.50064,0.0620853
18.8,1.51381,1.51512,-0.00131254
18.8167,1.50355,1.52948,-0.0259328
18.8333,1.55173,1.54371,0.00801934
18.85,1.53938,1.55779,-0.0184038
18.8667,1.55836,1.57171,-0.013347
18.8833,1.62715,1.58546,0.0416907
18.9,1.64785,1.59904,0.0488089
18.9167,1.57209,1.61243,-0.0403395
18.9333,1.60819,1.62562,-0.0174304
18.95,1.64012,1.6386,0.00152791
18.9667,1.61467,1.65136,-0.0366896
18.9833,1.63011,1.66389,-0.0337834
19,1.70261,1.67619,0.026418
19.0167,1.68859,1.68824,0.000347533
19.0333,1.64581,1.70004,-0.0542284
19.05,1.77104,1.71157,0.0594732
19.0667,1.76783,1.72283,0.0449992
19.0833,1.71493,1.7338,-0.0188693
19.1,1.73865,1.74449,-0.00583381
19.1167,1.71169,1.75487,-0.0431874
19.1333,1.76996,1.76495,0.00500978
19.15,1.84004,1.77472,0.0653189
19.1667,1.78842,1.78417,0.00425422
19.1833,1.75914,1.79328,-0.0341453
19.2,1.76076,1.80207,-0.0413066
19.2167,1.81061,1.81051,0.000105525
19.2333,1.85745,1.8186,0.0388529
19.25,1.83606,1.82634,0.00971794
19.2667,1.81738,1.83372,-0.0163338
19.2833,1.81624,1.84073,-0.0244906
19.3,1.79771,1.84737,-0.0496613
19.3167,1.84435,1.85363,-0.00928155
19.3333,1.92339,1.85952,0.0638759
19.35,1.86473,1.86502,-0.000288378
19.3667,1.85218,1.87013,-0.0179433
19.3833,1.9036,1.87484,0.0287627
19.4,1.83912,1.87916,-0.0400427
19.4167,1.82042,1.88308,-0.0626553
19.4333,1.90981,1.8866,0.0232183
19.45,1.90595,1.88971,0.0162382
19.4667,1.92244,1.89241,0.03003
19.4833,1.86772,1.8947,-0.0269847
19.5,1.8678,1.89658,-0.0287826
19.5167,1.89262,1.89805,-0.00543048
19.5333,1.86551,1.8991,-0.0335895
19.55,1.90586,1.89974,0.00612134
19.5667,1.89021,1.89996,-0.0097496
19.5833,1.88826,1.89977,-0.0115056
19.6,1.88835,1.89916,-0.0108106
19.6167,1.93749,1.89813,0.0393581
19.6333,1.89831,1.89669,0.00161645
19.65,1.8943,1.89484,-0.000543152
19.6667,1.91234,1.89257,0.0197611
19.6833,1.84421,1.8899,-0.0456935
19.7,1.86926,1.88682,-0.0175577
19.7167,1.86374,1.88333,-0.0195832
19.7333,1.87235,1.87943,-0.00708561
19.75,1.88247,1.87514,0.00732733
19.7667,1.84136,1.87045,-0.0290883
19.7833,1.82971,1.86537,-0.0356605
19.8,1.8602,1.85989,0.000308539
19.8167,1.91381,1.85404,0.0597743
19.8333,1.89419,1.8478,0.0463954
19.85,1.78554,1.84118,-0.0556403
19.8667,1.76836,1.83419,-0.0658368
19.8833,1.84865,1.82684,0.0218138
19.9,1.84428,1.81912,0.0251516
19.9167,1.81059,1.81106,-0.000466591
19.9333,1.79318,1.80264,-0.00946243
19.95,1.78699,1.79388,-0.00688308
19.9667,1.80998,1.78478,0.025202
19.9833,1.78236,1.77536,0.00700258
20,1.70498,1.76561,-0.0606331
20.0167,1.72102,1.75555,-0.0345347
20.0333,1.7674,1.74519,0.0222102
20.05,1.7394,1.73452,0.00488403
20.0667,1.71928,1.72356,-0.00428
20.0833,1.72601,1.71233,0.0136839
20.1,1.69981,1.70081,-0.0010045
20.1167,1.6719,1.68903,-0.0171324
20.1333,1.66796,1.677,-0.00904437
20.15,1.65448,1.66472,-0.0102417
20.1667,1.66012,1.6522,0.00792306
20.1833,1.65703,1.63945,0.0175829
20.2,1.58659,1.62648,-0.0398912
20.2167,1.59298,1.61331,-0.0203275
20.2333,1.64365,1.59993,0.0437161
20.25,1.53827,1.58637,-0.0481024
20.2667,1.54333,1.57263,-0.0292968
20.2833,1.57963,1.55872,0.0209156
20.3,1.59017,1.54465,0.0455196
20.3167,1.55982,1.53043,0.0293929
20.3333,1.49887,1.51608,-0.0172135
20.35,1.49982,1.5016,-0.00178157
20.3667,1.42487,1.48701,-0.0621409
20.3833,1.47955,1.47231,0.00723652
20.4,1.47554,1.45752,0.0180153
20.4167,1.38794,1.44266,-0.0547138
20.4333,1.44334,1.42772,0.015624
20.45,1.40991,1.41272,-0.00281018
20.4667,1.37622,1.39767,-0.021449
20.4833,1.43544,1.38259,0.0528491
20.5,1.36189,1.36748,-0.0055958
20.5167,1.32834,1.35236,-0.0240252
20.5333,1.31101,1.33724,-0.0262291
20.55,1.30617,1.32213,-0.0159555
20.5667,1.34252,1.30704,0.0354791
20.5833,1.27007,1.29198,-0.0219071
20.6,1.25477,1.27697,-0.022194
20.6167,1.25301,1.26201,-0.00899838
20.6333,1.24802,1.24712,0.000902776
20.65,1.24821,1.2323,0.015912
20.6667,1.25712,1.21758,0.0395481
20.6833,1.23598,1.20295,0.0330316
20.7,1.1783,1.18844,-0.0101364
20.7167,1.18115,1.17404,0.0071096
20.7333,1.16043,1.15979,0.000646872
20.75,1.09532,1.14567,-0.0503542
20.7667,1.13793,1.13171,0.00622387
20.7833,1.17945,1.11791,0.0615337
20.8,1.09831,1.1043,-0.00598312
20.8167,1.06848,1.09086,-0.0223771
20.8333,1.12006,1.07762,0.042441
20.85,1.04045,1.06459,-0.0241458
20.8667,1.0053,1.05178,-0.0464725
20.8833,1.08796,1.03919,0.0487698
20.9,0.998692,1.02683,-0.0281377
20.9167,0.994657,1.01472,-0.0200615
20.9333,1.01943,1.00286,0.0165722
20.95,0.979435,0.991267,-0.0118321
20.9667,1.0389,0.979943,0.0589606
20.9833,0.960379,0.9689,-0.00852054
21,0.920498,0.958144,-0.037646
21.0167,0.949,0.947685,0.00131519
21.0333,0.924789,0.93753,-0.0127415
21.05,0.91947,0.927688,-0.0082175
21.0667,0.919111,0.918164,0.000946626
21.0833,0.980221,0.908967,0.0712537
21.1,0.890195,0.900104,-0.00990918
21.1167,0.865403,0.891581,-0.0261782
21.1333,0.895942,0.883405,0.0125373
21.15,0.86254,0.875581,-0.0130413
21.1667,0.867693,0.868116,-0.000423301
21.1833,0.864377,0.861016,0.00336068
21.2,0.881908,0.854286,0.0276223
21.2167,0.822986,0.84793,-0.0249436
21.2333,0.828096,0.841954,-0.0138586
21.25,0.832911,0.836363,-0.00345151
21.2667,0.850771,0.831159,0.0196117
21.2833,0.811542,0.826349,-0.0148062
21.3,0.779269,0.821934,-0.0426646
21.3167,0.880172,0.817918,0.0622536
21.3333,0.844351,0.814305,0.0300452
21.35,0.815804,0.811097,0.00470661
21.3667,0.773929,0.808297,-0.0343683
21.3833,0.774253,0.805907,-0.0316539
21.4,0.842581,0.803927,0.0386533
21.4167,0.809997,0.802361,0.00763606
21.4333,0.79751,0.801209,-0.0036987
21.45,0.763349,0.800472,-0.0371235
21.4667,0.768424,0.800151,-0.0317271
21.4833,0.839131,0.800245,0.0388861
21.5,0.853403,0.800755,0.0526472
21.5167,0.776152,0.801681,-0.0255293
21.5333,0.7882,0.803021,-0.014821
21.55,0.838465,0.804775,0.0336898
21.5667,0.828965,0.806941,0.0220233
21.5833,0.840056,0.809518,0.0305375
21.6,0.817756,0.812504,0.00525212
21.6167,0.810628,0.815896,-0.00526771
21.6333,0.744395,0.819692,-0.0752973
21.65,0.80809,0.823889,-0.0157988
21.6667,0.910105,0.828484,0.0816211
21.6833,0.843767,0.833474,0.0102928
21.7,0.812658,0.838854,-0.0261962
21.7167,0.810841,0.84462,-0.0337798
21.7333,0.819699,0.850769,-0.0310699
21.75,0.888632,0.857296,0.0313359
21.7667,0.87542,0.864195,0.011225
21.7833,0.814997,0.871461,-0.0564638
21.8,0.903427,0.87909,0.0243376
21.8167,0.90482,0.887074,0.0177459
21.8333,0.878628,0.895409,-0.0167806
21.85,0.944385,0.904087,0.0402978
21.8667,0.908861,0.913103,-0.0042412
21.8833,0.894573,0.922449,-0.0278758
21.9,0.956761,0.932118,0.0246427
21.9167,0.972924,0.942104,0.0308208
21.9333,0.975502,0.952397,0.0231048
21.95,0.967131,0.962992,0.00413868
21.9667,0.95651,0.973879,-0.0173693
21.9833,0.983214,0.985051,-0.00183762
22,0.993084,0.996499,-0.00341491
22.0167,0.972473,1.00821,-0.0357406
22.0333,1.03234,1.02019,0.0121475
22.05,1.07583,1.03241,0.0434145
22.0667,1.00081,1.04487,-0.0440665
22.0833,1.05494,1.05757,-0.00262539
