t,omega_obs,omega_fit,residual
2.2,0.869065,0.839686,0.0293792
2.21667,0.877787,0.834248,0.043539
2.23333,0.830848,0.829201,0.00164718
2.25,0.843317,0.824547,0.0187701
2.26667,0.822335,0.82029,0.00204447
2.28333,0.777856,0.816435,-0.0385786
2.3,0.771764,0.812982,-0.0412184
2.31667,0.837843,0.809936,0.0279067
2.33333,0.831966,0.807298,0.0246676
2.35,0.758182,0.805071,-0.0468891
2.36667,0.762304,0.803256,-0.0409511
2.38333,0.837035,0.801854,0.0351812
2.4,0.838026,0.800867,0.0371597
2.41667,0.801231,0.800295,0.000936071
2.43333,0.801596,0.800138,0.00145777
2.45,0.770939,0.800398,-0.0294595
2.46667,0.771405,0.801073,-0.0296678
2.48333,0.772789,0.802164,-0.0293744
2.5,0.771736,0.803668,-0.0319323
2.51667,0.892037,0.805586,0.0864505
2.53333,0.892104,0.807916,0.0841875
2.55,0.748238,0.810656,-0.0624179
2.56667,0.748417,0.813803,-0.0653863
2.58333,0.837361,0.817356,0.0200045
2.6,0.879302,0.821312,0.0579904
2.61667,0.810383,0.825668,-0.0152846
2.63333,0.797814,0.83042,-0.032606
2.65,0.835149,0.835565,-0.000416319
2.66667,0.886912,0.841099,0.0458127
2.68333,0.843885,0.847018,-0.00313341
2.7,0.810513,0.853318,-0.0428043
2.71667,0.899557,0.859993,0.0395644
2.73333,0.894819,0.867038,0.0277809
2.75,0.823471,0.874449,-0.0509786
2.76667,0.884312,0.88222,0.00209235
2.78333,0.947449,0.890344,0.0571054
2.8,0.914403,0.898816,0.0155873
2.81667,0.850378,0.907629,-0.057251
2.83333,0.842452,0.916777,-0.0743248
2.85,0.914033,0.926252,-0.0122194
2.86667,1.00111,0.936048,0.0650623
2.88333,0.990161,0.946157,0.0440042
2.9,0.910847,0.956571,-0.0457247
2.91667,0.967903,0.967283,0.000619594
2.93333,1.03329,0.978285,0.0550098
2.95,1.00735,0.989567,0.0177817
2.96667,0.945863,1.00112,-0.0552597
2.98333,1.0189,1.01294,0.00595773
3,1.08403,1.02501,0.0590159
3.01667,1.02879,1.03733,-0.00854808
3.03333,0.993611,1.04989,-0.0562792
3.05,1.06142,1.06267,-0.00125061
3.06667,1.13027,1.07567,0.0546005
3.08333,1.12588,1.08888,0.0369952
3.1,1.04165,1.10229,-0.0606421
3.11667,1.11867,1.11588,0.00279466
3.13333,1.20818,1.12965,0.0785262
3.15,1.0998,1.14359,-0.0437879
3.16667,1.14499,1.15768,-0.0126896
3.18333,1.18297,1.17192,0.011053
3.2,1.17803,1.18629,-0.00826015
3.21667,1.21195,1.20079,0.0111684
3.23333,1.23662,1.2154,0.0212262
3.25,1.24401,1.23011,0.013901
3.26667,1.23378,1.24491,-0.0111292
3.28333,1.21569,1.25979,-0.0441009
3.3,1.29779,1.27474,0.0230517
3.31667,1.31553,1.28975,0.0257876
3.33333,1.30429,1.3048,-0.000507011
3.35,1.29425,1.31989,-0.0256382
3.36667,1.28551,1.335,-0.0494808
3.38333,1.37616,1.35012,0.0260483
3.4,1.38457,1.36524,0.0193319
3.41667,1.39205,1.38035,0.0117054
3.43333,1.39506,1.39543,-0.000369235
3.45,1.38326,1.41048,-0.0272218
3.46667,1.39922,1.42549,-0.0262711
3.48333,1.43204,1.44044,-0.00840298
3.5,1.51009,1.45532,0.0547706
3.51667,1.52165,1.47012,0.051525
3.53333,1.46076,1.48483,-0.0240748
3.55,1.45573,1.49944,-0.0437114
3.56667,1.54883,1.51394,0.0348925
3.58333,1.53988,1.52831,0.0115768
3.6,1.49464,1.54254,-0.0479054
3.61667,1.57186,1.55664,0.0152254
3.63333,1.6259,1.57057,0.0553294
3.65,1.62214,1.58434,0.037802
3.66667,1.59235,1.59793,-0.00558317
3.68333,1.57022,1.61133,-0.0411097
3.7,1.61106,1.62454,-0.0134803
3.71667,1.66426,1.63754,0.026718
3.73333,1.67114,1.65032,0.0208206
3.75,1.65945,1.66287,-0.00342703
3.76667,1.67814,1.67519,0.00294479
3.78333,1.70488,1.68726,0.0176188
3.8,1.69235,1.69908,-0.00673152
3.81667,1.74105,1.71063,0.0304223
3.83333,1.7009,1.72191,-0.0210112
3.85,1.71877,1.73291,-0.0141363
3.86667,1.78403,1.74362,0.0404057
3.88333,1.70663,1.75403,-0.0474034
3.9,1.78221,1.76414,0.0180703
3.91667,1.84257,1.77393,0.0686353
3.93333,1.7973,1.7834,0.0138997
3.95,1.76797,1.79255,-0.0245736
3.96667,1.77603,1.80136,-0.025323
3.98333,1.83873,1.80983,0.0289062
4,1.83312,1.81795,0.0151733
4.01667,1.80105,1.82572,-0.0246656
4.03333,1.86111,1.83312,0.0279901
4.05,1.85868,1.84017,0.0185169
4.06667,1.81159,1.84684,-0.0352501
4.08333,1.86793,1.85313,0.0147968
4.1,1.82659,1.85905,-0.0324586
4.11667,1.86764,1.86458,0.00306422
4.13333,1.90743,1.86972,0.0377105
4.15,1.89338,1.87447,0.0189148
4.16667,1.9355,1.87882,0.0566802
4.18333,1.8324,1.88277,-0.050372
4.2,1.83306,1.88632,-0.0532594
4.21667,1.92423,1.88947,0.0347664
4.23333,1.91292,1.8922,0.020722
4.25,1.91223,1.89453,0.0177048
4.26667,1.92906,1.89644,0.0326198
4.28333,1.91193,1.89794,0.0139888
4.3,1.87737,1.89903,-0.0216609
4.31667,1.89067,1.8997,-0.00903465
4.33333,1.9274,1.89996,0.0274403
4.35,1.85345,1.8998,-0.0463473
4.36667,1.87397,1.89922,-0.0252529
4.38333,1.94032,1.89823,0.0420908
4.4,1.94081,1.89683,0.0439885
4.41667,1.93633,1.89501,0.0413273
4.43333,1.82579,1.89278,-0.0669874
4.45,1.85044,1.89013,-0.0396948
4.46667,1.94038,1.88708,0.0532979
4.48333,1.88023,1.88363,-0.00339422
4.5,1.85998,1.87977,-0.0197915
4.51667,1.89616,1.87551,0.0206515
4.53333,1.87197,1.87085,0.00112375
4.55,1.87217,1.8658,0.00636563
4.56667,1.85574,1.86036,-0.0046156
4.58333,1.85194,1.85453,-0.00259517
4.6,1.87211,1.84832,0.0237828
4.61667,1.83662,1.84174,-0.00511931
4.63333,1.83589,1.83478,0.00111274
4.65,1.83521,1.82746,0.00775233
4.66667,1.81777,1.81977,-0.00200411
4.68333,1.82988,1.81173,0.0181523
4.7,1.79234,1.80334,-0.0109974
4.71667,1.74513,1.79461,-0.0494774
4.73333,1.81364,1.78554,0.028097
4.75,1.8151,1.77614,0.0389582
4.76667,1.73376,1.76642,-0.0326602
4.78333,1.72385,1.75639,-0.0325437
4.8,1.74896,1.74605,0.00290767
4.81667,1.75461,1.73541,0.0191995
4.83333,1.75065,1.72447,0.0261792
4.85,1.70731,1.71326,-0.00594519
4.86667,1.66921,1.70177,-0.0325626
4.88333,1.7051,1.69001,0.0150846
4.9,1.64559,1.678,-0.0324131
4.91667,1.64757,1.66574,-0.018166
4.93333,1.66953,1.65324,0.0162933
4.95,1.65198,1.64051,0.0114747
4.96667,1.6061,1.62756,-0.0214529
4.98333,1.6035,1.6144,-0.0109015
5,1.59955,1.60104,-0.00148484
5.01667,1.60378,1.58749,0.0162904
5.03333,1.57588,1.57376,0.00211894
5.05,1.55738,1.55987,-0.00248359
5.06667,1.58589,1.54581,0.0400846
5.08333,1.50147,1.5316,-0.0301367
5.1,1.50427,1.51726,-0.0129944
5.11667,1.49179,1.5028,-0.011004
5.13333,1.49977,1.48821,0.0115541
5.15,1.50536,1.47352,0.0318397
5.16667,1.43613,1.45874,-0.0226173
5.18333,1.44671,1.44388,0.00282866
5.2,1.42373,1.42894,-0.00521885
5.21667,1.36885,1.41395,-0.0450974
5.23333,1.37369,1.39891,-0.0252172
5.25,1.38008,1.38383,-0.00374445
5.26667,1.38256,1.36872,0.013831
5.28333,1.39069,1.3536,0.0370862
5.3,1.31943,1.33848,-0.0190489
5.31667,1.31135,1.32337,-0.0120185
5.33333,1.36725,1.30828,0.0589772
5.35,1.29087,1.29322,-0.00234145
5.36667,1.22013,1.2782,-0.0580725
5.38333,1.239,1.26323,-0.024231
5.4,1.22717,1.24834,-0.0211632
5.41667,1.24916,1.23351,0.0156468
5.43333,1.26535,1.21878,0.0465649
5.45,1.16954,1.20415,-0.0346105
5.46667,1.17299,1.18962,-0.0166314
5.48333,1.15609,1.17522,-0.0191334
5.5,1.16753,1.16095,0.00658175
5.51667,1.15663,1.14682,0.00980688
5.53333,1.10783,1.13285,-0.0250178
5.55,1.144,1.11904,0.0249537
5.56667,1.12548,1.10541,0.0200715
5.58333,1.0788,1.09196,-0.0131623
5.6,1.06691,1.0787,-0.0117945
5.61667,1.07725,1.06565,0.0115971
5.63333,1.01746,1.05282,-0.0353565
5.65,1.00531,1.04021,-0.0348996
5.66667,1.07045,1.02784,0.0426188
5.68333,1.0348,1.0157,0.0190947
5.7,0.972954,1.00383,-0.0308719
5.71667,1.00456,0.992209,0.0123545
5.73333,0.987649,0.980863,0.00678564
5.75,0.967978,0.969796,-0.00181764
5.76667,0.965781,0.959017,0.00676469
5.78333,0.958522,0.948533,0.00998926
5.8,0.958334,0.938353,0.0199811
5.81667,0.911821,0.928484,-0.016663
5.83333,0.921587,0.918934,0.00265281
5.85,0.903106,0.90971,-0.0066039
5.86667,0.862005,0.900819,-0.0388146
5.88333,0.884013,0.892268,-0.00825524
5.9,0.877707,0.884063,-0.00635558
5.91667,0.865155,0.87621,-0.0110549
5.93333,0.866536,0.868716,-0.00217945
5.95,0.871032,0.861585,0.00944698
5.96667,0.853969,0.854824,-0.000854879
5.98333,0.834714,0.848438,-0.0137235
6,0.812269,0.842431,-0.0301616
6.01667,0.79218,0.836807,-0.0446269
6.03333,0.892938,0.831572,0.0613657
6.05,0.873946,0.826729,0.0472175
6.06667,0.801839,0.822281,-0.0204426
6.08333,0.799282,0.818233,-0.0189513
6.1,0.773352,0.814587,-0.0412346
6.11667,0.831069,0.811346,0.0197236
6.13333,0.830916,0.808512,0.0224041
6.15,0.770029,0.806087,-0.0360584
6.16667,0.836177,0.804074,0.0321025
6.18333,0.834407,0.802474,0.0319329
6.2,0.730974,0.801288,-0.0703141
6.21667,0.822259,0.800517,0.021742
6.23333,0.816368,0.800161,0.0162065
6.25,0.728399,0.800222,-0.0718225
6.26667,0.81628,0.800698,0.0155822
6.28333,0.792649,0.801589,-0.00894014
6.3,0.76884,0.802895,-0.0340557
6.31667,0.867437,0.804615,0.0628213
6.33333,0.803083,0.806748,-0.00366455
6.35,0.799038,0.809291,-0.0102535
6.36667,0.855287,0.812243,0.0430442
6.38333,0.762265,0.815602,-0.0533366
6.4,0.767039,0.819365,-0.0523265
6.41667,0.840232,0.823529,0.0167026
6.43333,0.848097,0.828092,0.0200047
6.45,0.831762,0.833049,-0.0012874
6.46667,0.822934,0.838397,-0.015463
6.48333,0.83029,0.844132,-0.0138427
6.5,0.839307,0.85025,-0.0109425
6.51667,0.914682,0.856746,0.0579365
6.53333,0.908032,0.863614,0.0444174
6.55,0.833021,0.870851,-0.0378296
6.56667,0.883907,0.878449,0.00545768
6.58333,0.864738,0.886405,-0.0216666
6.6,0.908255,0.894711,0.0135438
6.61667,0.899943,0.903361,-0.00341839
6.63333,0.865244,0.91235,-0.0471053
6.65,0.952172,0.921669,0.0305033
6.66667,0.940806,0.931312,0.00949386
6.68333,0.95671,0.941272,0.015438
6.7,0.960497,0.95154,0.00895612
6.71667,0.95582,0.962111,-0.00629107
6.73333,0.947436,0.972974,-0.0255379
6.75,0.948495,0.984123,-0.0356275
6.76667,0.962903,0.995548,-0.0326455
6.78333,1.00965,1.00724,0.00240642
6.8,1.03784,1.01919,0.0186468
6.81667,1.03857,1.0314,0.00717238
6.83333,1.01199,1.04384,-0.0318558
6.85,1.01236,1.05652,-0.0441581
6.86667,1.11298,1.06941,0.0435689
6.88333,1.11124,1.08252,0.0287164
6.9,1.09912,1.09584,0.00328766
6.91667,1.1226,1.10934,0.0132604
6.93333,1.12797,1.12303,0.0049451
6.95,1.12342,1.13688,-0.0134687
6.96667,1.12358,1.1509,-0.0273257
6.98333,1.13719,1.16507,-0.027886
7,1.16209,1.17938,-0.0172936
7.01667,1.24123,1.19382,0.0474059
7.03333,1.25288,1.20838,0.0444993
7.05,1.16721,1.22304,-0.055831
7.06667,1.24092,1.2378,0.00312137
7.08333,1.27478,1.25265,0.0221293
